investment_type,GCIS_sector,name,country_of_origin,ticker,price_per_unit,initial_investment,number_of_units
stocks,Energy,Exxon Mobil Corp,U.S.,XOM,116.7,400000,3427.592117
stocks,Energy,PetroChina Co Ltd,China,PCCYF,64.65,400000,6187.16164
stocks,Energy,NextEra Energy Inc.,U.S.,NEE,68.64,200000,2913.752914
stocks,Materials,BHP Group Ltd,Austrailia,BHP,58.45,100000,1710.863986
stocks,Materials,Air Products & Chemicals Inc,U.S.,APD,302.11,100000,331.005263
stocks,Industrials,Raytheon,U.S.,RTX,75.8,200000,2638.522427
stocks,Industrials,Union Pacific Crop,U.S.,UNP,213.32,200000,937.5585974
stocks,Consumer Discretionary,Amazon.com Inc.,U.S.,AMZN,140.39,300000,2136.904338
stocks,Consumer Discretionary,Tesla,U.S.,TSLA,274.39,100000,364.4447684
stocks,Consumer Discretionary,Hermes International S.A.,France,HESAY,202.17,100000,494.6332295
stocks,Consumer Staples,Anheuser-Busch InBev SA,Belgium,BUD,56.87,300000,5275.189028
stocks,Consumer Staples,Proctor and Gamble,U.S.,PG,153.47,400000,2606.372581
stocks,Consumer Staples,Hims & Hers Health Inc.,U.S.,HIMS,6.31,100000,15847.86054
stocks,Health Care,"Pfizer, Inc.",U.S.,PFE,34.07,300000,8805.400646
stocks,Health Care,Elekta,Sweden,EL,2.44,100000,40983.60656
stocks,Financials,Berkshire Hathaway Inc.,U.S.,BRK-A,559500,500000,0.8936550492
stocks,Financials,Industrial and Commercial Bank of China,China,IDCBY,9.63,250000,25960.53998
stocks,Financials,Royal Bank of Canada,Canada,RY,91.69,250000,2726.578689
stocks,Information Technology,Microsoft,U.S.,MSFT,330.22,400000,1211.31367
stocks,Information Technology,Tencent Holdings Ltd,China,TCEHY,40.52,200000,4935.834156
stocks,Information Technology,Snowflake,U.S.,SNOW,151.96,200000,1316.135825
stocks,Telecommunication Services,Alphabet Inc,U.S.,GOOGL,137.4,250000,1819.505095
stocks,Telecommunication Services,"América Móvil, S.A.B. de C.V",Mexico,AMX,16.89,50000,2960.331557
stocks,Utilities,National Grid PLC,England,NG,1273.28,150000,117.8059814
stocks,Utilities,Iberdrola SA,Spain,IBDRY,11.83,150000,12679.62806
stocks,Real Estate,Prologis Inc,U.S.,PLD,123.18,150000,1217.730151
stocks,Real Estate,Public Storage Operating CO,U.S.,PSA,274.11,150000,547.2255664
crypto,N/A,Bitcoin,N/A,BTC-USD,26557.04,200000,7.530959776
crypto,N/A,Ethereum,N/A,ETH-USD,1635.17,200000,122.3114416
bonds,N/A,10 Year  U.S. Treasury Note,U.S.,^TNX,,500000,
bonds,N/A,Vanguard Total International Bond ETF,Foreign,BNDX,48.27,500000,10358.40066
bonds,N/A,iShares iBoxx $ Investment Grade Corporate Bond ETF,U.S.,LQD,104.37,600000,5748.778385